Name,URL,Email,Phone,City,State_Province,In_Business,Lat,Longitude,
CompostNow,http://compostnow.org/triangle,thedirt@compostnow.org,919-526-0403,Triangle,NC,1,35.899942,-78.906192,
Philly Compost,http://www.phillycompost.com/,realperson@phillycompost.com,215-703-7645,Philadelphia,PA,0,39.952584,-75.165222,
CompostNow,http://www.compostnow.com/,,,Atlanta,GA,1,33.748995,-84.387982,
Return to Nature Compost,https://www.returntonaturecompost.com/,wjwoods@returntonaturecompost.com,406-580-5045,"Bozeman, Big Sky, Belgrade, and Livingston",MT,0,45.672986,-111.100224,
Az Valley Compost,http://www.azvalleycompost.com/,support@azvalleycompost.com,602-570-0291,Phoenix,AZ,0,33.448377,-112.074037,
Bootstrap Compost,http://bootstrapcompost.com/,bootstrapcompost@gmail.com,,Boston,MA,1,42.360082,-71.05888,
Bennett Compost,http://www.bennettcompost.com/,info@bennettcompost.com,215-520-2406,Philadelphia,PA,1,39.952584,-75.165222,
Earth Girl Composting,http://www.earthgirlcomposting.com/,megan@earthgirlcomposting.com,802-223-1271,"Burlington, Montpelier, Chittenden, and Washington",VT,1,44.2603,-72.57627,
Carter's Compost,http://carterscompost.com/,carterscompost@gmail.com,,Traverse City,MI,1,44.763057,-85.620632,
Radix Ecological Sustainability Center,http://radixcenter.org/231-2/,sk@radixcenter.org,512-294-9580,Albany,NY,1,42.652579,-73.756232,
Black Earth Compost,http://www.blackearthcompost.com/,conor@blackearthhauler.com,262-227-1067,Boston,MA,1,42.35866,-71.05675,
Let Us Compost,http://letuscompost.com/,letuscompost@gmail.com,404-805-0113,Athens,GA,0,33.95,-83.383333,
Clean Air Compost Posse,http://www.cleanaircompost.com/,moose@cleanaircompost.com,970-224-4732,Fort Collins,CO,0,40.58526,-105.084423,
Green Thumb Compost,https://www.greenthumbcompost.com/,info@greenthumbcompost.com,512-369-0998,Austin,TX,0,30.267153,-97.743061,
Mr. Fox Composting,http://mrfoxcomposting.com/,rian@zerowastenow.com,603-828-4435,Dover,NH,1,43.197862,-70.87367,
Earth Mama Compost,http://earthmamacompost.com/,info@earthmamacompost.com,317-759-4589,Indianapolis,IN,1,39.768583,-86.157956,
Community Composting,https://www.communitycomposting.org/,info@communitycomposting.org,585-678-6631,Rochester,NY,1,43.16103,-77.610922,
Curbside Compostables,http://www.curbsidecompostables.com/,CurbsideCompostables@gmail.com,317-332-8465,Zionsville,IN,1,39.950873,-86.261937,
Stateline Waste Management,http://statelinewm.com/,info@statelinewm.com,,Windham,NH,1,42.800644,-71.304229,
GROW Compost,http://www.growcompost.com/compost/services/,lisa@growcompost.com,802-882-8154,Waterbury,VT,1,44.33782,-72.756264,
Compost Denton,https://www.compostdenton.com/#!/,,,Denton,TX,1,33.214841,-97.133068,
Compost Express,http://www.compostexpress.com/,compostexpressmke@gmail.com,414-403-3002,Milwaukee,WI,1,43.038902,-87.906474,
Compost Orlando,http://www.compostorlando.org/,compostorlando@gmail.com,,Orlando,FL,0,28.538335,-81.379237,
Gainesville Compost,http://gainesvillecompost.com/,GainesvilleCompost@gmail.com,,Gainesville,FL,0,29.651634,-82.324826,
Compost Pedallers,https://compostpedallers.com/,dustin@compostpedallers.com,210-364-4571,Austin,TX,1,30.267153,-97.743061,
Compost Cab,http://compostcab.com/,jeremy@agricity.net,202-695-2020,Washington,DC,1,38.907192,-77.036871,
Compost Crew,http://compostcrew.com/,info@thecompostcrew.com,301-202-4450,Washington,DC,1,38.907192,-77.036871,
Garbage to Garden,http://garbagetogarden.org/,,207-332-0277,Portland,ME,1,43.661471,-70.255326,
Blue Earth Compost,http://www.blueearthcompost.com/,info@blueearthcompost.com,860-508-7114,West Hartford,CT,1,41.762084,-72.742015,
Community Compost Company,http://communitycompostco.com/,,845-787-3478,New Paltz,NY,1,41.747593,-74.08681,
Peels & Wheels,https://www.pwcomposting.com,newhavenfarms@gmail.com,203-915-1892,New Haven,CT,1,41.308274,-72.927883,
Empire Zero,http://empirezerowaste.com/,tylerqh@empirezerowaste.com,518-788-7423,Albany,NY,1,42.652579,-73.756232,
