Loc Code,Corp,Rest,Center,Center ID,Street Address,Street Address - Secondary,City,ST,Zip Code,Zip Code2,Primary Phone,,
10142,RL1,142,PFG - ELKTON,16,5051 AUTH WAY,,SUITLAND,MD,20746-4206,20746,3014233715,,
10153,RL1,153,PFG - ELKTON,16,709 INDEPENDENCE BLVD.,,VIRGINIA BEACH,VA,23455-6205,23455,7574901671,,
10180,RL1,180,PFG - ELKTON,16,1200 VESTAL PARKWAY EAST,,VESTAL,NY,13850-1835,13850,6077543787,,
10189,RL1,189,PFG - ELKTON,16,655 JEFFERSON RD,,ROCHESTER,NY,14623-3231,14623,5854242060,,
10195,RL1,195,PFG - ELKTON,16,4711 CARLISLE PIKE,,MECHANICSBURG,PA,17050-3024,17050,7177631760,,
10200,RL1,200,PFG - ELKTON,16,15700 SHADY GROVE RD,,GAITHERSBURG,MD,20877-1401,20877,3018400380,,
10203,RL1,203,PFG - ELKTON,16,750 HIGHWAY 18 NORTH,,EAST BRUNSWICK,NJ,08816-4907,08816,7322384810,,
10217,RL1,217,PFG - ELKTON,16,2220 NESCONSET HIGHWAY,,STONY BROOK,NY,11790-3508,11790,6316899060,,
10218,RL1,218,PFG - ELKTON,16,945 WOODLAND ROAD,,WYOMISSING,PA,19610-1201,19610,6103762905,,
10231,RL1,231,PFG - ELKTON,16,10325 FAIRFAX BLVD,,FAIRFAX,VA,22030-2249,22030,7036911011,,
10235,RL1,235,PFG - ELKTON,16,555 S. VAN DORN STREET,,ALEXANDRIA,VA,22304-4611,22304,7033709422,,
10239,RL1,239,PFG - ELKTON,16,3255 BRUNSWICK PIKE,,LAWRENCEVILLE,NJ,08648-2409,08648,6098961011,,
10240,RL1,240,PFG - ELKTON,16,2090 LINCOLN HIGHWAY EAST,,LANCASTER,PA,17602-3394,17602,7172911147,,
10241,RL1,241,PFG - ELKTON,16,9140 ROOSEVELT BLVD E.,,PHILADELPHIA,PA,19115-4714,19115,2156735750,,
10244,RL1,244,PFG - ELKTON,16,2200 HIGHWAY 35,,OAKHURST,NJ,07755-7204,07755,7324932404,,
10247,RL1,247,PFG - ELKTON,16,2965 ERIE BLVD. E,,SYRACUSE,NY,13224-1455,13224,3154451988,,
10251,RL1,251,PFG - ELKTON,16,8009 W BROAD ST,,RICHMOND,VA,23294-4219,23294,8047479490,,
10252,RL1,252,PFG - ELKTON,16,800 LEHIGH LIFESTYLE CENTER,,WHITEHALL,PA,18052-5737,18052,6102645541,,
10255,RL1,255,PFG - ELKTON,16,520 HIGHWAY 46,,WAYNE,NJ,07470-4822,07470,9737853114,,
10264,RL1,264,PFG - ELKTON,16,211 OLD COUNTRY RD #217,,CARLE PLACE,NY,11514-1907,11514,5162487411,,
10265,RL1,265,PFG - ELKTON,16,8905 ANNAPOLIS RD.,,LANHAM,MD,20706-2920,20706,3014594494,,
10267,RL1,267,PFG - ELKTON,16,635 U.S. HWY 1,,ISELIN,NJ,08830-3102,08830,7326366230,,
10286,RL1,286,PFG - ELKTON,16,198 WEST ROUTE 59,,NANUET,NY,10954-2217,10954,8456234800,,
10296,RL1,296,PFG - ELKTON,16,821 LYNNHAVEN PKWY,LYNNHAVEN MALL,VIRGINIA BEACH,VA,23452-7023,23452,7573400420,,
10302,RL1,302,PFG - ELKTON,16,211 ROUTE 17 S,,PARAMUS,NJ,07652-2903,07652,2019677838,,
10311,RL1,311,PFG - ELKTON,16,2255 SOUTH ROAD,,POUGHKEEPSIE,NY,12601-5580,12601,8454624301,,
